Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
NQ 06-26,Buy,1,24322.50,4/7/2026 4:00:00 PM,NT-00041-412,Exit,-,NT-00064-412,Stop,$2.88,1,Backtest,,
NQ 06-26,Sell,1,24225.00,4/7/2026 3:30:00 PM,NT-00040-412,Entry,1 S,NT-00063-412,ORB_Value_v2:20260407:18559,$2.88,1,Backtest,,
NQ 06-26,Buy,1,24113.50,4/7/2026 3:00:00 PM,NT-00039-412,Exit,-,NT-00062-412,T2,$2.88,1,Backtest,,
NQ 06-26,Sell,1,24195.00,4/7/2026 2:30:00 PM,NT-00038-412,Entry,1 S,NT-00060-412,ORB_Value_v2:20260407:18547,$2.88,1,Backtest,,
NQ 06-26,Buy,1,24259.75,4/7/2026 1:45:00 PM,NT-00037-412,Exit,-,NT-00058-412,Stop,$2.88,1,Backtest,,
NQ 06-26,Sell,1,24177.75,4/7/2026 12:10:00 PM,NT-00036-412,Entry,1 S,NT-00057-412,ORB_Value_v2:20260407:18519,$2.88,1,Backtest,,
NQ 06-26,Sell,1,24226.50,4/6/2026 1:20:00 PM,NT-00035-412,Exit,-,NT-00055-412,Stop,$2.88,1,Backtest,,
NQ 06-26,Buy,1,24317.25,4/6/2026 10:50:00 AM,NT-00034-412,Entry,1 L,NT-00054-412,ORB_Value_v2:20260406:18227,$2.88,1,Backtest,,
NQ 06-26,Buy,1,23493.25,3/27/2026 12:30:00 PM,NT-00033-412,Exit,-,NT-00053-412,T2,$2.88,1,Backtest,,
NQ 06-26,Sell,1,23596.50,3/27/2026 11:40:00 AM,NT-00032-412,Entry,1 S,NT-00051-412,ORB_Value_v2:20260327:16674,$2.88,1,Backtest,,
NQ 06-26,Sell,1,24382.00,3/23/2026 12:05:00 PM,NT-00031-412,Exit,-,NT-00049-412,Stop,$2.88,1,Backtest,,
NQ 06-26,Buy,1,24503.75,3/23/2026 11:55:00 AM,NT-00030-412,Entry,1 L,NT-00048-412,ORB_Value_v2:20260323:15573,$2.88,1,Backtest,,
NQ 06-26,Sell,1,24848.25,3/16/2026 6:10:00 PM,NT-00029-412,Exit,-,NT-00047-412,SessionClose,$2.88,1,Backtest,,
NQ 06-26,Buy,1,24877.25,3/16/2026 4:10:00 PM,NT-00028-412,Entry,1 L,NT-00044-412,ORB_Value_v2:20260316:14244,$2.88,1,Backtest,,
NQ 06-26,Buy,1,24792.50,3/12/2026 3:50:00 PM,NT-00027-412,Exit,-,NT-00043-412,T2,$2.88,1,Backtest,,
NQ 06-26,Sell,1,24888.75,3/12/2026 10:25:00 AM,NT-00026-412,Entry,1 S,NT-00041-412,ORB_Value_v2:20260312:13623,$2.88,1,Backtest,,
NQ 06-26,Sell,1,25228.50,3/11/2026 10:30:00 AM,NT-00025-412,Exit,-,NT-00039-412,Stop,$2.88,1,Backtest,,
NQ 06-26,Buy,1,25311.00,3/11/2026 10:20:00 AM,NT-00024-412,Entry,1 L,NT-00038-412,ORB_Value_v2:20260311:13346,$2.88,1,Backtest,,
NQ 06-26,Buy,1,25238.75,3/5/2026 6:10:00 PM,NT-00023-412,Exit,-,NT-00037-412,SessionClose,$2.88,1,Backtest,,
NQ 06-26,Sell,1,25256.00,3/5/2026 4:05:00 PM,NT-00022-412,Entry,1 S,NT-00034-412,ORB_Value_v2:20260305:12311,$2.88,1,Backtest,,
