Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,OCO,TIF,Account,Connection,ID,Strategy,Time,
NQ 06-26,Sell short,Market,1,0,0,Filled,1,25795.75,0,ORB_Value_v2:20260114:2468,,GTC,Backtest,,NT-00000-412,,1/14/2026 3:45:00 PM,
NQ 06-26,Buy to cover,Stop Market,1,0,25849.75,Filled,1,25857.50,0,Stop,,GTC,Backtest,,NT-00001-412,,1/14/2026 3:45:00 PM,
NQ 06-26,Buy to cover,Limit,1,25724.25,0,Cancelled,0,0,1,T2,,GTC,Backtest,,NT-00002-412,,1/14/2026 3:45:00 PM,
NQ 06-26,Buy,Market,1,0,0,Filled,1,25542.50,0,ORB_Value_v2:20260120:3466,,GTC,Backtest,,NT-00003-412,,1/20/2026 10:55:00 AM,
NQ 06-26,Sell,Stop Market,1,0,25470.25,Filled,1,25464.75,0,Stop,,GTC,Backtest,,NT-00004-412,,1/20/2026 10:55:00 AM,
NQ 06-26,Sell,Limit,1,25638.25,0,Cancelled,0,0,1,T2,,GTC,Backtest,,NT-00005-412,,1/20/2026 10:55:00 AM,
NQ 06-26,Sell short,Market,1,0,0,Filled,1,26090.50,0,ORB_Value_v2:20260129:5439,,GTC,Backtest,,NT-00006-412,,1/29/2026 2:20:00 PM,
NQ 06-26,Buy to cover,Stop Market,1,0,26144.50,Filled,1,26193.25,0,Stop,,GTC,Backtest,,NT-00007-412,,1/29/2026 2:20:00 PM,
NQ 06-26,Buy to cover,Limit,1,26019.00,0,Cancelled,0,0,1,T2,,GTC,Backtest,,NT-00008-412,,1/29/2026 2:20:00 PM,
NQ 06-26,Sell short,Market,1,0,0,Filled,1,26190.75,0,ORB_Value_v2:20260129:5462,,GTC,Backtest,,NT-00009-412,,1/29/2026 4:15:00 PM,
NQ 06-26,Buy to cover,Stop Market,1,0,26238.50,Cancelled,0,0,1,Stop,,GTC,Backtest,,NT-00010-412,,1/29/2026 4:15:00 PM,
NQ 06-26,Buy to cover,Limit,1,26128.00,0,Cancelled,0,0,1,T2,,GTC,Backtest,,NT-00011-412,,1/29/2026 4:15:00 PM,
NQ 06-26,Buy to cover,Market,1,0,0,Filled,1,26161.25,0,SessionClose,,GTC,Backtest,,NT-00012-412,,1/29/2026 6:05:00 PM,
NQ 06-26,Sell short,Market,1,0,0,Filled,1,24938.25,0,ORB_Value_v2:20260205:6784,,GTC,Backtest,,NT-00013-412,,2/5/2026 11:25:00 AM,
NQ 06-26,Buy to cover,Stop Market,1,0,25063.50,Cancelled,0,0,1,Stop,,GTC,Backtest,,NT-00014-412,,2/5/2026 11:25:00 AM,
NQ 06-26,Buy to cover,Limit,1,24771.50,0,Filled,1,24749.50,0,T2,,GTC,Backtest,,NT-00015-412,,2/5/2026 11:25:00 AM,
NQ 06-26,Buy,Market,1,0,0,Filled,1,25546.00,0,ORB_Value_v2:20260210:7615,,GTC,Backtest,,NT-00016-412,,2/10/2026 11:40:00 AM,
NQ 06-26,Sell,Stop Market,1,0,25486.00,Filled,1,25481.50,0,Stop,,GTC,Backtest,,NT-00017-412,,2/10/2026 11:40:00 AM,
NQ 06-26,Sell,Limit,1,25625.50,0,Cancelled,0,0,1,T2,,GTC,Backtest,,NT-00018-412,,2/10/2026 11:40:00 AM,
NQ 06-26,Sell short,Market,1,0,0,Filled,1,24778.00,0,ORB_Value_v2:20260217:8937,,GTC,Backtest,,NT-00019-412,,2/17/2026 10:50:00 AM,
NQ 06-26,Buy to cover,Stop Market,1,0,24885.00,Filled,1,24935.50,0,Stop,,GTC,Backtest,,NT-00020-412,,2/17/2026 10:50:00 AM,
